,pathname,class,mode
0,currencyDataset/1000_back/IMG20211228225452.jpg,1000_back,train
1,currencyDataset/1000_back/IMG20211228225453.jpg,1000_back,train
2,currencyDataset/1000_back/IMG20211228225456.jpg,1000_back,train
3,currencyDataset/1000_back/IMG20211228225459.jpg,1000_back,train
4,currencyDataset/1000_back/IMG20211228225502.jpg,1000_back,train
5,currencyDataset/1000_back/IMG20211228225504.jpg,1000_back,train
6,currencyDataset/1000_back/IMG20211228225507.jpg,1000_back,train
7,currencyDataset/1000_back/IMG20211228225510.jpg,1000_back,train
8,currencyDataset/1000_back/IMG20211228225514.jpg,1000_back,train
9,currencyDataset/1000_back/IMG20211228225518.jpg,1000_back,train
10,currencyDataset/1000_back/IMG20211228225519.jpg,1000_back,train
11,currencyDataset/1000_back/IMG20211228225523.jpg,1000_back,train
12,currencyDataset/1000_back/IMG20211228225525.jpg,1000_back,train
13,currencyDataset/1000_back/IMG20211228225527.jpg,1000_back,train
14,currencyDataset/1000_back/IMG20211228225538.jpg,1000_back,train
15,currencyDataset/1000_back/IMG20211228225540.jpg,1000_back,train
16,currencyDataset/1000_back/IMG20211228225543.jpg,1000_back,train
17,currencyDataset/1000_back/IMG20211228225545.jpg,1000_back,train
18,currencyDataset/1000_back/IMG20211228225548.jpg,1000_back,train
19,currencyDataset/1000_back/IMG20211228225551.jpg,1000_back,train
20,currencyDataset/1000_back/IMG20211228225554.jpg,1000_back,train
21,currencyDataset/1000_back/IMG20211228225557.jpg,1000_back,train
22,currencyDataset/1000_back/IMG20211228225559.jpg,1000_back,train
23,currencyDataset/1000_back/IMG20211228225603.jpg,1000_back,train
24,currencyDataset/1000_back/IMG20211228225606.jpg,1000_back,train
25,currencyDataset/1000_back/IMG20211228225607.jpg,1000_back,train
26,currencyDataset/1000_back/IMG20211228225610.jpg,1000_back,train
27,currencyDataset/1000_back/IMG20211228225614.jpg,1000_back,train
28,currencyDataset/1000_back/IMG20211228225617.jpg,1000_back,train
